[+] A iniciar stress write Modbus FC6 contra 172.27.224.250:502 (UnitID=1, Reg=6)...
[!] Stress write FC6 no registo 6, valor base 10
[2025-10-06 20:46:38] TID 190 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:38] TID 191 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:38] TID 192 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:38] TID 193 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:38] TID 194 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:38] TID 195 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:38] TID 196 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:38] TID 197 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:38] TID 198 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:39] TID 199 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:39] TID 200 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:39] TID 201 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:39] TID 202 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:39] TID 203 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:39] TID 204 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:39] TID 205 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:39] TID 206 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:39] TID 207 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:39] TID 208 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:40] TID 209 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:40] TID 210 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:40] TID 211 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:40] TID 212 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:40] TID 213 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:40] TID 214 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:40] TID 215 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:40] TID 216 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:40] TID 217 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:40] TID 218 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:41] TID 219 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:41] TID 220 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:41] TID 221 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:41] TID 222 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:41] TID 223 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:41] TID 224 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:41] TID 225 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:41] TID 226 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:41] TID 227 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:41] TID 228 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:42] TID 229 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:42] TID 230 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:42] TID 231 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:42] TID 232 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:42] TID 233 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:42] TID 234 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:42] TID 235 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:42] TID 236 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:42] TID 237 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:42] TID 238 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:43] TID 239 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:43] TID 240 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:43] TID 241 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:43] TID 242 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:43] TID 243 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:43] TID 244 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:43] TID 245 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:43] TID 246 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:43] TID 247 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:43] TID 248 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:44] TID 249 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:44] TID 250 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:44] TID 251 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:44] TID 252 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:44] TID 253 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:44] TID 254 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:44] TID 255 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:44] TID 256 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:44] TID 257 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:45] TID 258 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:45] TID 259 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:45] TID 260 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:45] TID 261 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:45] TID 262 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:45] TID 263 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:45] TID 264 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:45] TID 265 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:45] TID 266 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:45] TID 267 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:46] TID 268 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:46] TID 269 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:46] TID 270 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:46] TID 271 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:46] TID 272 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:46] TID 273 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:46] TID 274 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:46] TID 275 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:46] TID 276 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:46] TID 277 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:47] TID 278 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:47] TID 279 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:47] TID 280 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:47] TID 281 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:47] TID 282 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:47] TID 283 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:47] TID 284 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:47] TID 285 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:47] TID 286 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:47] TID 287 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:48] TID 288 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:48] TID 289 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:48] TID 290 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:48] TID 291 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:48] TID 292 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:48] TID 293 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:48] TID 294 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:48] TID 295 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:48] TID 296 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:48] TID 297 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:49] TID 298 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:49] TID 299 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:49] TID 300 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:49] TID 301 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:49] TID 302 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:49] TID 303 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:49] TID 304 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:49] TID 305 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:49] TID 306 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:49] TID 307 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:50] TID 308 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:50] TID 309 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:50] TID 310 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:50] TID 311 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:50] TID 312 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:50] TID 313 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:50] TID 314 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:50] TID 315 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:50] TID 316 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:50] TID 317 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:51] TID 318 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:51] TID 319 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:51] TID 320 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:51] TID 321 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:51] TID 322 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:51] TID 323 | Valor enviado: 13 | Valor recebido: 13
